seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce 

seaIce seaIce seaIce coast seaIce seaIce seaIce seaIce coast coast coast coast coast coast seaIce coast coast coast coast coast coast coast coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast seaIce seaIce coast coast coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast coast coast coast coast coast coast seaIce coast coast coast coast coast coast coast coast coast coast coast coast coast coast coast coast coast coast seaIce seaIce seaIce seaIce coast coast coast coast coast coast coast coast coast coast coast coast coast seaIce coast coast coast coast seaIce seaIce seaIce coast coast coast coast coast coast coast seaIce seaIce coast seaIce coast coast coast coast coast coast coast coast coast seaIce coast seaIce seaIce seaIce seaIce coast coast seaIce seaIce seaIce seaIce coast coast coast coast coast coast coast seaIce seaIce coast coast coast coast coast coast coast coast coast coast coast coast coast coast coast coast seaIce coast coast coast coast seaIce coast coast coast coast coast coast coast seaIce coast coast coast coast coast coast coast coast seaIce seaIce coast coast coast coast coast coast coast coast coast coast coast coast seaIce seaIce coast coast coast coast coast coast coast seaIce seaIce 

seaIce seaIce seaIce tundra seaIce seaIce seaIce tundra seaIce tundra tundra tundra tundra tundra tundra tundra coast tundra tundra tundra tundra tundra coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce tundra tundra seaIce tundra tundra coast coast seaIce seaIce seaIce seaIce seaIce seaIce coast tundra tundra tundra tundra tundra tundra seaIce seaIce coast tundra coast tundra coast tundra tundra tundra tundra tundra tundra tundra coast tundra tundra tundra tundra tundra coast seaIce seaIce seaIce coast tundra tundra tundra tundra tundra tundra tundra coast coast tundra tundra tundra coast coast tundra tundra tundra seaIce coast coast seaIce tundra tundra tundra tundra tundra seaIce seaIce seaIce seaIce tundra tundra coast tundra tundra tundra coast tundra tundra tundra tundra coast coast seaIce seaIce coast coast tundra coast coast coast seaIce coast tundra coast tundra tundra tundra tundra seaIce seaIce tundra tundra coast tundra coast tundra tundra tundra coast coast tundra tundra tundra tundra tundra coast seaIce coast tundra tundra coast seaIce coast tundra coast tundra tundra tundra coast coast coast tundra coast tundra tundra coast tundra coast coast coast coast tundra tundra coast tundra tundra tundra coast tundra tundra tundra seaIce seaIce tundra tundra coast coast tundra coast coast tundra seaIce seaIce 

seaIce seaIce tundra trees tundra tundra tundra seaIce seaIce seaIce tundra coast coast tundra tundra trees tundra coast coast coast coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast tundra tundra coast tundra tundra coast seaIce coast seaIce seaIce seaIce seaIce coast tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra trees tundra trees tundra tundra tundra trees tundra trees tundra tundra tundra tundra coast tundra coast coast tundra trees hills hills tundra trees tundra tundra trees tundra tundra tundra coast seaIce seaIce coast seaIce tundra tundra coast tundra tundra tundra tundra tundra seaIce seaIce seaIce coast seaIce coast tundra trees tundra tundra tundra tundra tundra tundra tundra tundra seaIce seaIce seaIce coast tundra seaIce coast tundra tundra coast tundra tundra tundra trees tundra tundra coast coast coast tundra hills tundra tundra tundra tundra tundra coast coast seaIce coast tundra tundra coast tundra coast coast coast tundra coast coast seaIce seaIce seaIce coast coast tundra tundra tundra tundra tundra tundra tundra tundra trees tundra tundra tundra coast tundra tundra tundra trees tundra tundra tundra hills tundra tundra tundra tundra seaIce coast coast coast tundra tundra coast coast tundra tundra coast seaIce 

seaIce coast coast tundra tundra tundra coast coast coast seaIce seaIce seaIce coast tundra tundra tundra coast tundra tundra seaIce seaIce tundra seaIce tundra coast coast coast seaIce seaIce seaIce seaIce coast tundra coast coast coast coast coast seaIce tundra coast seaIce seaIce seaIce coast tundra tundra tundra coast tundra tundra trees tundra tundra trees trees trees tundra hills tundra tundra trees tundra tundra tundra tundra tundra trees tundra tundra tundra trees tundra coast tundra coast tundra tundra trees hills forest trees forest trees trees trees trees trees tundra tundra tundra coast tundra coast tundra tundra tundra tundra hills tundra tundra tundra coast seaIce coast coast tundra tundra tundra trees tundra tundra trees tundra trees trees tundra tundra coast seaIce seaIce tundra tundra seaIce coast tundra tundra tundra tundra tundra trees tundra hills tundra coast coast tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra coast tundra tundra coast coast tundra seaIce coast tundra tundra coast tundra tundra seaIce coast tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra trees forest trees trees trees forest trees tundra tundra tundra seaIce seaIce coast coast tundra tundra tundra coast tundra coast coast seaIce 

seaIce coast tundra tundra tundra tundra tundra tundra seaIce seaIce tundra coast coast tundra tundra seaIce seaIce coast tundra seaIce seaIce seaIce seaIce seaIce coast tundra tundra seaIce coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce tundra seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast tundra tundra tundra coast tundra coast tundra tundra trees hills forest trees trees forest hills tundra tundra tundra tundra tundra tundra tundra tundra hills trees trees hills hills tundra trees tundra trees trees tundra tundra trees forest forest hills tundra trees tundra trees tundra tundra tundra coast tundra tundra hills trees trees trees tundra tundra tundra hills tundra tundra tundra coast tundra tundra trees trees tundra trees trees tundra hills forest hills trees tundra tundra seaIce seaIce seaIce seaIce tundra hills tundra coast tundra tundra tundra tundra tundra tundra tundra coast tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra coast tundra tundra coast tundra seaIce seaIce coast tundra tundra tundra tundra seaIce seaIce coast tundra tundra trees tundra tundra tundra tundra tundra tundra tundra trees tundra trees tundra trees trees forest forest hills hills trees trees trees tundra tundra tundra coast tundra tundra coast tundra tundra tundra tundra tundra tundra coast seaIce 
