seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean ocean seaIce ocean ocean ocean ocean ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean ocean ocean ocean seaIce seaIce seaIce ocean seaIce ocean ocean seaIce seaIce seaIce ocean seaIce ocean seaIce seaIce ocean seaIce ocean seaIce ocean seaIce seaIce ocean seaIce ocean seaIce seaIce ocean ocean seaIce seaIce seaIce ocean ocean seaIce seaIce ocean seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean seaIce seaIce seaIce seaIce ocean ocean seaIce seaIce ocean seaIce ocean seaIce seaIce seaIce seaIce ocean seaIce ocean ocean ocean seaIce seaIce seaIce seaIce seaIce seaIce ocean seaIce seaIce ocean ocean seaIce seaIce ocean seaIce seaIce ocean ocean ocean ocean ocean seaIce ocean ocean seaIce seaIce seaIce ocean ocean seaIce seaIce ocean ocean ocean ocean seaIce ocean seaIce seaIce ocean seaIce seaIce ocean seaIce seaIce ocean seaIce ocean ocean seaIce seaIce ocean ocean seaIce ocean seaIce seaIce ocean seaIce seaIce seaIce seaIce ocean ocean seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean ocean seaIce ocean ocean ocean ocean seaIce seaIce ocean seaIce ocean seaIce seaIce seaIce seaIce seaIce seaIce seaIce 

seaIce ocean coast seaIce coast coast coast ocean seaIce ocean seaIce coast coast coast seaIce seaIce coast coast coast coast ocean coast ocean coast coast coast seaIce ocean seaIce seaIce ocean coast seaIce ocean ocean ocean coast coast seaIce coast coast coast seaIce coast seaIce coast coast coast ocean ocean coast coast coast ocean seaIce coast coast seaIce coast coast seaIce seaIce coast coast coast seaIce coast coast coast seaIce coast coast coast coast seaIce coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean coast coast seaIce coast coast coast coast coast seaIce coast coast seaIce coast seaIce coast coast ocean ocean coast seaIce seaIce seaIce seaIce coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast seaIce seaIce coast coast coast coast ocean coast coast seaIce seaIce seaIce coast ocean ocean seaIce seaIce coast seaIce coast coast coast coast coast coast seaIce seaIce seaIce seaIce coast seaIce coast coast coast coast coast ocean seaIce seaIce coast coast seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce ocean seaIce seaIce seaIce seaIce coast coast coast seaIce seaIce ocean seaIce seaIce seaIce seaIce coast coast coast seaIce ocean ocean ocean ocean ocean ocean seaIce seaIce seaIce seaIce seaIce seaIce coast ocean seaIce 

ocean coast tundra tundra tundra tundra tundra coast seaIce seaIce coast tundra tundra tundra seaIce coast tundra tundra tundra tundra coast tundra coast tundra tundra tundra seaIce ocean seaIce seaIce seaIce tundra coast coast ocean coast tundra tundra tundra tundra tundra tundra coast tundra coast forest tundra tundra coast coast tundra tundra tundra coast coast tundra tundra coast tundra tundra coast coast tundra tundra tundra coast tundra tundra tundra coast tundra tundra tundra tundra seaIce tundra seaIce seaIce seaIce seaIce seaIce tundra coast coast coast forest forest coast tundra tundra tundra tundra tundra coast tundra tundra tundra tundra coast tundra tundra coast coast tundra seaIce seaIce seaIce coast tundra coast coast seaIce seaIce tundra tundra seaIce tundra coast seaIce tundra tundra tundra tundra coast tundra tundra seaIce tundra coast tundra seaIce seaIce coast coast tundra coast tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra tundra coast tundra tundra tundra tundra tundra coast coast seaIce tundra tundra seaIce seaIce seaIce seaIce seaIce ocean seaIce seaIce coast seaIce seaIce seaIce coast tundra tundra tundra tundra seaIce seaIce coast ocean coast coast tundra forest tundra coast seaIce seaIce ocean seaIce seaIce coast seaIce seaIce seaIce seaIce seaIce tundra tundra seaIce ocean 

ocean seaIce coast seaIce tundra tundra coast seaIce seaIce coast tundra tundra tundra tundra seaIce seaIce seaIce coast coast tundra tundra coast coast tundra tundra seaIce seaIce seaIce seaIce seaIce seaIce tundra coast tundra coast tundra trees tundra trees trees forest trees tundra trees forest forest trees tundra coast tundra trees trees trees tundra tundra trees trees forest forest trees forest forest trees trees trees tundra trees forest trees tundra coast coast seaIce seaIce seaIce seaIce tundra seaIce coast seaIce seaIce coast forest forest forest forest forest forest forest trees tundra tundra tundra tundra trees trees trees tundra tundra trees tundra seaIce seaIce tundra seaIce tundra seaIce seaIce coast tundra tundra seaIce seaIce seaIce tundra seaIce tundra seaIce seaIce coast coast tundra tundra tundra tundra coast seaIce seaIce seaIce seaIce seaIce tundra tundra tundra trees tundra trees trees tundra tundra trees tundra trees trees trees trees trees forest trees trees trees trees trees forest forest tundra tundra coast seaIce tundra tundra coast seaIce ocean seaIce coast tundra seaIce seaIce seaIce seaIce coast coast coast forest coast coast tundra coast tundra tundra trees forest trees forest coast ocean seaIce coast coast tundra coast coast seaIce seaIce seaIce seaIce tundra seaIce seaIce 

ocean ocean seaIce seaIce coast coast coast tundra coast tundra coast tundra tundra tundra tundra seaIce seaIce coast tundra tundra tundra tundra tundra coast seaIce seaIce seaIce tundra tundra tundra coast tundra tundra coast tundra trees trees trees forest trees forest trees tundra trees forest forest trees trees tundra trees forest forest trees tundra tundra trees forest forest forest forest forest trees trees forest forest trees forest forest trees tundra coast tundra tundra seaIce seaIce seaIce seaIce seaIce tundra seaIce tundra tundra trees forest trees trees trees forest forest trees trees trees trees trees forest forest trees trees tundra tundra coast seaIce seaIce tundra seaIce coast coast coast tundra trees tundra coast tundra seaIce seaIce seaIce seaIce seaIce seaIce seaIce seaIce coast tundra trees tundra tundra coast tundra seaIce tundra tundra trees forest trees forest trees trees forest trees trees forest trees tundra trees tundra trees trees forest trees trees forest forest trees forest forest trees tundra tundra coast tundra tundra seaIce seaIce seaIce coast tundra seaIce seaIce tundra seaIce tundra seaIce coast forest forest forest forest trees tundra trees forest trees forest trees forest forest coast coast tundra tundra tundra tundra tundra seaIce seaIce seaIce tundra tundra seaIce ocean 

seaIce seaIce seaIce tundra coast coast tundra trees tundra coast seaIce coast coast coast coast seaIce tundra tundra coast tundra coast coast tundra seaIce tundra seaIce tundra seaIce coast seaIce tundra coast seaIce seaIce coast forest forest forest forest forest forest forest trees trees forest forest forest forest trees forest forest trees forest trees trees trees forest forest forest forest forest forest forest trees forest trees forest trees trees trees tundra tundra coast seaIce ocean seaIce coast ocean seaIce seaIce seaIce tundra trees trees forest forest forest forest forest forest trees trees tundra trees forest forest forest trees trees tundra coast tundra seaIce seaIce seaIce tundra forest forest trees trees tundra coast tundra coast tundra coast tundra seaIce ocean seaIce seaIce coast tundra tundra tundra tundra tundra coast coast tundra trees trees forest trees forest forest forest forest trees trees forest trees tundra trees trees trees forest forest forest forest forest forest forest forest forest trees tundra trees tundra coast seaIce seaIce seaIce seaIce coast coast tundra seaIce seaIce seaIce seaIce seaIce coast trees forest forest forest forest trees forest forest forest trees forest forest trees trees tundra trees trees tundra coast seaIce seaIce seaIce tundra tundra tundra coast ocean 
